work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,ML Engineer,USD,FR,100,FR,M
2021,EN,FT,Data Scientist,USD,AE,100,AE,M
2023,MI,FT,BI Analyst,USD,AE,100,AE,M
2023,SE,FT,Principal Data Scientist,USD,BR,100,BR,M
2022,SE,FT,Data Governance Analyst,USD,CZ,50,CZ,L
2023,EN,FT,Big Data Engineer,USD,KR,0,KR,M
2023,SE,FT,ML Engineer,USD,IN,0,IN,M
2022,MI,FT,Applied Scientist,USD,AU,0,AU,M
2023,SE,FT,Lead Data Scientist,USD,IE,100,IE,L
2023,SE,FT,AI Researcher,USD,US,0,US,L
2022,MI,FT,Data Engineer,USD,NL,50,NL,L
2022,EN,FT,Deep Learning Engineer,USD,US,0,US,M
2022,MI,FT,Data Analyst,USD,IT,50,IN,L
2023,EN,FT,Data Engineer,USD,DE,100,JP,M
2022,EX,FT,Data Scientist,USD,FR,50,FR,L
2023,SE,FT,Data Architect,USD,US,0,US,L
2022,SE,FT,Research Scientist,USD,NZ,0,NZ,L
2023,SE,FT,Research Scientist,USD,AR,0,SG,L
2023,SE,FT,Applied Scientist,USD,US,0,US,M
2023,MI,FT,Data Engineer,USD,IN,0,IN,S
2023,MI,FT,Data Governance Analyst,USD,US,100,US,M
2023,MI,FT,Machine Learning Engineer,USD,GR,100,AR,M
2022,EX,FT,Data Scientist,USD,ES,0,ES,M
2021,MI,FT,Data Scientist,USD,US,0,US,M
2022,EN,FT,Big Data Engineer,USD,BR,0,US,M
2021,EX,FT,Data Analyst,USD,CL,0,CL,M
2022,SE,FT,Research Scientist,USD,US,0,US,M
2023,MI,CT,AI Researcher,USD,NO,0,US,S
2023,MI,FT,Analytics Engineer,USD,IN,100,IN,M
2023,SE,FT,Research Scientist,USD,CA,100,CA,M
2023,SE,FT,Data Analyst,USD,IT,100,IT,S
2022,SE,FT,BI Analyst,USD,US,100,US,M
2022,SE,FT,Big Data Engineer,USD,GB,50,GB,M
2023,MI,FT,Machine Learning Engineer,USD,SE,100,US,M
2023,MI,FT,Machine Learning Engineer,USD,IN,0,IN,M
2022,MI,FT,AI Engineer,USD,BR,100,BR,M
2023,SE,FT,AI Engineer,USD,GB,50,GB,S
2023,SE,FT,Computer Vision Engineer,USD,IN,100,IN,M
2022,EX,FT,ML Ops Engineer,USD,US,0,US,M
2023,MI,FT,Data Analyst,USD,NZ,0,GR,S
2023,SE,FL,Data Analyst,USD,ES,100,ES,M
2023,MI,FT,Data Analyst,USD,BR,100,BR,M
2022,EN,FT,Applied Scientist,USD,IN,0,IN,M
2023,SE,FT,Data Analyst,USD,MX,50,BR,M
2023,SE,FT,Applied Scientist,USD,DE,100,DE,M
2022,EN,FT,Research Scientist,USD,US,0,US,M
2022,MI,FT,Data Scientist,USD,US,100,US,L
2022,MI,FT,Data Consultant,USD,IN,50,IN,M
2022,MI,PT,Business Intelligence Engineer,USD,PL,100,PL,L
2023,SE,FT,Data Engineer,USD,DE,100,FR,L
2022,SE,FT,Applied Scientist,USD,GR,0,CA,M
2021,EN,FT,Data Science Manager,USD,ES,100,US,M
2023,MI,FT,Data Engineer,USD,CA,0,US,M
2023,MI,FT,Data Scientist,USD,AE,0,IN,L
2022,MI,FT,BI Analyst,USD,SE,100,DE,L
2022,EN,FT,Data Scientist,USD,IN,100,IN,M
2022,MI,FT,Data Scientist,USD,GR,0,GR,L
2022,SE,FT,Data Engineer,USD,KR,0,KR,M
2023,EN,FT,Data Architect,USD,DK,100,DK,M
2023,SE,FL,Data Governance Analyst,USD,PT,50,BR,L
2022,EN,FT,Analytics Engineer,USD,TR,0,TR,M
2022,SE,FT,Data Specialist,USD,US,100,US,M
2023,MI,FT,Statistician,USD,IN,0,IN,S
2022,EX,FT,Data Architect,USD,AR,50,AR,M
2022,SE,FT,Data Scientist,USD,AU,100,AU,L
2023,SE,FT,Data Scientist,USD,AR,100,FR,M
2022,MI,FT,BI Analyst,USD,NO,0,AU,L
2023,SE,FT,Data Consultant,USD,GB,100,GB,M
2022,EN,FT,Machine Learning Engineer,USD,CA,0,CA,M
2023,SE,FT,Research Scientist,USD,US,50,US,M
2023,SE,FT,Analytics Engineer,USD,IN,0,IN,M
2022,EN,CT,Machine Learning Engineer,USD,IN,0,IN,M
2021,SE,FT,Statistician,USD,PT,50,PT,L
2023,EX,PT,Machine Learning Engineer,USD,IT,0,IT,L
2023,MI,FT,AI Engineer,USD,PT,0,PT,S
2022,MI,PT,Data Engineer,USD,BR,0,BR,M
2022,MI,FT,Data Engineer,USD,IN,50,IN,M
2022,MI,FT,Data Scientist,USD,NZ,100,NZ,M
2021,SE,FT,ML Engineer,USD,BR,100,BR,M
2022,MI,FT,Machine Learning Engineer,USD,IE,0,JP,M
2022,SE,FT,Big Data Engineer,USD,TR,100,TR,S
2021,MI,FT,Data Scientist,USD,IN,100,JP,M
2022,SE,FT,ML Ops Engineer,USD,JP,0,JP,M
2022,EN,FT,ML Engineer,USD,AU,0,US,M
2023,EX,FT,Deep Learning Engineer,USD,CA,100,CA,M
2023,SE,FT,Data Engineer,USD,KR,100,KR,M
2022,SE,FT,Data Scientist,USD,US,100,US,M
2021,EN,FT,Analytics Engineer,USD,JP,100,ES,M
2023,SE,FT,Applied Scientist,USD,US,50,US,M
2023,SE,FT,Principal Data Scientist,USD,NL,0,GB,M
2023,SE,FT,Data Engineer,USD,TR,100,TR,M
2022,SE,FT,Quantitative Analyst,USD,PL,100,PL,S
2023,SE,FT,BI Analyst,USD,CZ,0,CZ,M
2022,SE,FT,Data Governance Analyst,USD,US,100,US,M
2023,SE,FT,Data Scientist,USD,KR,0,KR,M
2022,MI,FT,AI Engineer,USD,GR,0,GR,M
2023,SE,FT,AI Engineer,USD,NL,100,AU,M
2023,MI,FT,Data Architect,USD,JP,50,JP,M
2023,MI,PT,Data Engineer,USD,ES,100,ES,M
2022,EN,FT,Data Analyst,USD,DE,100,DE,M
2021,SE,FT,Data Governance Analyst,USD,GB,50,US,M
2022,MI,FT,Data Product Manager,USD,TR,0,TR,M
2022,SE,FT,BI Analyst,USD,NL,50,NL,L
2023,SE,FT,AI Engineer,USD,AU,100,AU,M
2022,MI,FT,Deep Learning Engineer,USD,AE,100,IN,S
2023,MI,FT,Data Analyst,USD,KR,50,KR,L
2022,MI,FT,Data Scientist,USD,CL,100,CL,M
2023,SE,FT,Data Engineer,USD,IN,0,IN,M
2022,MI,FT,Analytics Engineer,USD,US,100,US,L
2022,MI,FT,AI Researcher,USD,KR,0,KR,M
2022,SE,FT,Analytics Engineer,USD,ES,100,US,M
2023,EN,FT,Data Specialist,USD,GB,0,GB,L
2023,MI,PT,Quantitative Analyst,USD,NO,0,CA,L
2023,SE,FT,Data Analyst,USD,AU,100,AU,M
2021,SE,FT,Machine Learning Engineer,USD,KR,0,JP,L
2022,EN,FT,Data Engineer,USD,CA,0,CA,M
2023,SE,FT,AI Engineer,USD,AU,50,AU,M
2023,EN,FT,ML Ops Engineer,USD,MX,0,FR,M
2022,SE,FT,Data Analyst,USD,IE,100,US,S
2022,MI,FT,BI Analyst,USD,CA,0,CA,L
2023,SE,FT,Research Scientist,USD,MX,100,MX,M
2023,EX,FT,Data Scientist,USD,BR,0,BR,L
2022,SE,FT,Computer Vision Engineer,USD,US,100,US,M
2022,MI,FT,Data Scientist,USD,US,100,US,M
2021,EN,FT,Data Analyst,USD,NL,100,NL,M
2023,EX,FT,Machine Learning Engineer,USD,FR,100,FR,L
